"pcp-dstat 4.3.2 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","undercloud-0.redhat.local",,,,"User:","root"
"Cmdline:","dstat -tcmndrylpg --nocolor --swap --tcp --output /var/log/extra/dstat.csv",,,,"Date:","03 Mar 2020 21:51:32 EST"
"system","total usage",,,,,,,,,"memory usage",,,,"net/total",,,"dsk/total",,,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"swap",,,"tcp sockets"
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","swap:used","swap:free","lis","act","syn","tim","clo"
03-03 21:51:32,,317100,23118816,2096,1006268,,,,,,,1.150,0.500,0.190,2,0,,,,0,0,2,1,0,20,0
03-03 21:51:33,8.990,4.495,86.033,0.250,0,368576,23066060,2096,1007132,82421.726,4171.532,463.504,10332.933,83.910,557.403,5133,4277,1.150,0.500,0.190,1,0,398.573,0,0,0,0,2,1,0,20,0
03-03 21:51:34,10.376,0.375,89.009,0.125,0,392272,23042176,2096,1007288,472.046,1057.104,0,2699.265,0,18.002,1094,268,1.150,0.500,0.190,0,0,3.000,0,0,0,0,2,4,0,20,0
03-03 21:51:35,0,0,99.737,0,0,392292,23041116,2096,1008328,1074592.527,15440.039,0,0,0,0,439,348,1.150,0.500,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:36,0.625,0.250,99.131,0,0,392372,23032180,2096,1017184,9320493.909,88956.248,0,0,0,0,2732,2150,1.060,0.490,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:37,1.875,1.125,96.998,0,0,392408,23013108,2096,1036220,19667877.978,189588.587,0,0,0,0,6085,5197,1.060,0.490,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:38,0.875,0.500,98.374,0,0,392272,23002820,2096,1046644,10833147.502,109202.017,0,0,0,0,3484,3021,1.060,0.490,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:39,1.125,0.500,98.125,0,0,392216,22989808,2096,1059712,13556217.444,125703.874,0,0,0,0,3890,3507,1.060,0.490,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:40,0.125,0,100.010,0,0,392260,22989048,2096,1060428,733776.378,8501.850,0,0,0,0,331,266,1.060,0.490,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:41,0.250,0.125,99.751,0.125,0,392640,22988020,2096,1061076,666246.994,8250.124,0,5536.083,0,218.003,398,439,0.970,0.480,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:42,1.375,0.875,97.493,0,0,392404,22971868,2096,1077464,17061030.362,165909.391,0,0,0,0,2996,4852,0.970,0.480,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:43,1.000,0.375,98.626,0,0,392280,22960932,2096,1088524,11428553.571,104999.630,0,0,0,0,2039,2667,0.970,0.480,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:44,0,0.125,99.882,0,0,392628,22959260,2096,1089848,1360942.988,14816.067,0,0,0,0,348,387,0.970,0.480,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:45,0.375,0.375,98.998,0,0,392280,22952592,2096,1096864,7284720.167,66423.406,0,0,0,0,1363,1750,0.970,0.480,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:46,0.125,0.375,98.719,0.750,0,393996,22950312,2096,1097428,573671.588,6702.915,0,20749.547,0,528.836,528,1009,0.890,0.470,0.190,1,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:47,0.375,0.125,99.535,0,0,394464,22947804,2096,1099468,2261699.595,22644.926,0,0,0,0,542,635,0.890,0.470,0.190,0,0,0,0,0,0,0,2,4,0,20,0
03-03 21:51:48,0.125,0,99.751,0,0,394364,22946824,2096,1100548,956339.389,10668.149,0,0,0,0,277,288,0.890,0.470,0.190,0,0,0,0,0,0,0,2,4,0,20,0
