----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
     time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo 
03-03 21:51:32|                   | 310M   22G 2096k  983M|           |           |           |           |1.15 0.50 0.19|2.0   0    |           |   0     0 |  2    1    0   20    0 
03-03 21:51:33|  9   4  86   0   0| 360M   22G 2096k  984M|  82k 4172 | 464k   10M|83.9   557 |5133  4277 |1.15 0.50 0.19|1.0   0 399|   0     0 |   0     0 |  2    1    0   20    0 
03-03 21:51:34| 10   0  89   0   0| 383M   22G 2096k  984M| 472  1057 |   0  2699k|   0  18.0 |1094   268 |1.15 0.50 0.19|  0   0 3.0|   0     0 |   0     0 |  2    4    0   20    0 
03-03 21:51:35|  0   0 100   0   0| 383M   22G 2096k  985M|1075k   15k|   0     0 |   0     0 | 439   348 |1.15 0.50 0.19|  0   0   0|   0     0 |   0     0 |  2    4    0   20    0 
03-03 21:51:36|  1   0  99   0   0| 383M   22G 2096k  993M|9320k   89k|   0     0 |   0     0 |2732  2150 |1.06 0.49 0.19|  0   0   0|   0     0 |   0     0 |  2    4    0   20    0 
03-03 21:51:37|  2   1  97   0   0| 383M   22G 2096k 1012M|  20M  190k|   0     0 |   0     0 |6085  5197 |1.06 0.49 0.19|  0   0   0|   0     0 |   0     0 |  2    4    0   20    0 
03-03 21:51:38|  1   0  98   0   0| 383M   22G 2096k 1022M|  11M  109k|   0     0 |   0     0 |3484  3021 |1.06 0.49 0.19|  0   0   0|   0     0 |   0     0 |  2    4    0   20    0 
03-03 21:51:39|  1   0  98   0   0| 383M   22G 2096k 1035M|  14M  126k|   0     0 |   0     0 |3890  3507 |1.06 0.49 0.19|  0   0   0|   0     0 |   0     0 |  2    4    0   20    0 
03-03 21:51:40|  0   0 100   0   0| 383M   22G 2096k 1036M| 734k 8502 |   0     0 |   0     0 | 331   266 |1.06 0.49 0.19|  0   0   0|   0     0 |   0     0 |  2    4    0   20    0 
03-03 21:51:41|  0   0 100   0   0| 383M   22G 2096k 1036M| 666k 8250 |   0  5536k|   0   218 | 398   439 |0.97 0.48 0.19|  0   0   0|   0     0 |   0     0 |  2    4    0   20    0 
03-03 21:51:42|  1   1  97   0   0| 383M   22G 2096k 1052M|  17M  166k|   0     0 |   0     0 |2996  4852 |0.97 0.48 0.19|  0   0   0|   0     0 |   0     0 |  2    4    0   20    0 
03-03 21:51:43|  1   0  99   0   0| 383M   22G 2096k 1063M|  11M  105k|   0     0 |   0     0 |2039  2667 |0.97 0.48 0.19|  0   0   0|   0     0 |   0     0 |  2    4    0   20    0 
03-03 21:51:44|  0   0 100   0   0| 383M   22G 2096k 1064M|1361k   15k|   0     0 |   0     0 | 348   387 |0.97 0.48 0.19|  0   0   0|   0     0 |   0     0 |  2    4    0   20    0 
03-03 21:51:45|  0   0  99   0   0| 383M   22G 2096k 1071M|7285k   66k|   0     0 |   0     0 |1363  1750 |0.97 0.48 0.19|  0   0   0|   0     0 |   0     0 |  2    4    0   20    0 
